Adam	A Dong
principal (of an offence), author of a crime	chính phạm
up-to-standard product	chính phẩm
government	chính phủ
American government, U.S. government	chính phủ Hoa Kỳ
puppet government	chính phủ bù nhìn
civilian government	chính phủ dân sự
federal government	chính phủ liên bang
interim government	chính phủ lâm thời
government in exile, exile government	chính phủ lưu vong
state government	chính phủ tiểu bang
government, administration, political power, regime, administration	chính quyền
communist government	chính quyền cộng sản
legitimate government, administration	chính quyền hợp pháp
the government continues to repress the people	chính quyền tiếp tục đàn áp người dân
central(ized) government, administration	chính quyền trung ương
local, regional government	chính quyền địa phương
dictatorial government, power	chính quyền độc tài
parents’ place of birth	chính quán
(Buddhism) future bliss, reward for a devout life	chính quả
policy	chính sách
anti-Vietnamese policy	chính sách bài Việt
the closed-door policy	chính sách bế quan tỏa cảng
US policy towards China	chính sách của Hoa Kỳ đối với Trung Quốc
economic policy	chính sách kinh tế
one China policy	chính sách một Trung Quốc
foreign policy	chính sách ngoại giao
government policy	chính sách nhà nước
hostile policy	chính sách thù nghịch
monetary policy	chính sách tiền tệ
fiscal policy, financial policy	chính sách tài chính
social policy	chính sách xã hội
policy change	chính sách đổi mới
history written by the imperial court	chính sử
political affairs, state affairs	chính sự
main wife (in opposition to concubines in	chính thất
policy, government	chính thể
constitutional government	chính thể lập hiến
representative government	chính thể đại nghị
orthodox	chính thống
orthodox religion, the (Greek, Russian) Orthodox Church	chính thống giáo
official, formal, legal	chính thức
to recognize officially; official recognition	chính thức cộng nhận
to make official	chính thức hóa
to officially announce	chính thức tuyên bố
to make an official visit	chính thức viếng thăm
in this very room	chính trong căn phòng này
trustworthy, authentic, genuine, original	chính truyền
political arena, politics	chính trường
politics, political, policy	chính trị
politician	chính trị gia
to politicize	chính trị hóa
political science, politics	chính trị học
political prisoner, state prisoner	chính trị phạm
domestic politics	chính trị quốc nội
political instructor (at company or battalion level)	chính trị viên
main axis	chính trục
honest, straightforward, truthful, upright	chính trực
sincerity, righteousness	chính tâm
genuine, real, authentic	chính tông
orthography, dictation	chính tả
main bedroom (for natural death)	chính tẩm
canonical	chính tắc
because of, due to	chính vì
this is the main reason why, mainly because of	chính vì thế
that’s why	chính vì vậy
original text (as opposed to a copy)	chính văn
government, political affairs	chính vụ
administrative council	chính vụ viện
precise, exact, accurate	chính xác
important, vital, essential	chính yếu
he himself	chính ông
he himself	chính ông ta
even he, he himself doesn’t have a private office	chính ông ta không có một văn phòng tiêng
central chamber, sanctum	chính điện
to be legitimate, right, just, proper	chính đáng
straightforward, upright, legitimate, correct	chính đính
the right way, the right path	chính đạo
political party	chính đảng
political commissar	chính ủy
to keep to tighten	chíp
chuck-chuck	chíp chíp
wet behind the ears	chíp hôi
all over, close together	chít chung
to squeak	chít chít
to wrap a turban around one’s head	chít khăn
parashorea	chò
parashrea stellata	chò chỉ
on one’s heels	chò hỏ
shed, hut	chòi
watch tower, guard tower	chòi canh
sentry box, watch-tower	chòi gác
wooden shed, hut	chòi gỗ
tuft (of hair), clump (of trees), bunch (of flowers), group (of stars)	chòm
constellation	chòm sao
Canis Major, the greater dog	chòm sao thiên lang
hamlet and sub-hamlet	chòm xóm
to tease	chòng
cranky, shaky; to roll, sway, be unstable	chòng chành
to stare	chòng chọc
to tease	chòng ghẹo
wait till (something) is over	chòng vòng
dog	chó
seal, sea-dog	chó biển
damned	chó chết
puppy	chó con
female dog, bitch	chó cái
pet dog	chó cảnh
rabid or mad dog	chó dại
bad dog, vicious dog	chó dữ
hammer (on a handgun)	chó lửa
black dog	chó mực
watchdog	chó ngao
wild dog	chó rừng
wolf	chó sói
search dog, hunting dog	chó săn
barking dog	chó sủa
yellow dog	chó vàng
spotted dog	chó vá
spotted dog	chó vện
shock-dog	chó xù
hairy dog	chó xồm
son of a bitch	chó đẻ
glaring	chóa
appear, show up	chóc
alone, lonely	chóc ngóc
to shine, glisten	chói
blazing, intense	chói chang
brilliant, dazzling, radiant	chói lọi
brassy, shrill, strident, piercing, deafening, disharmonious, dissonant	chói tai
shrill, deafening	chói óc
to be fast, rapid	chóng
sooner or later	chóng chầy
dizzy	chóng mặt
rapid, speedy, prompt, expeditious	chóng vánh
summit, peak, top	chóp
head, leader, chief, boss, top man; top-notch	chóp bu
pig duodenum	chóp chài
tongue tip, apex	chóp lưỡi
root-cap	chóp rễ
end, last (in a series), final	chót
rambutan	chôm chôm
to bury	chôn
to confine oneself, keep oneself shut up	chôn chân
to bury (as a means of hiding something)	chôn giấu
to bury, cover	chôn lấp
native place, birthplace	chôn rau cắt rốn
to bury alive	chôn sống
engrave into one’s memory	chôn vào ruột
to bury, enshroud	chôn vùi
spikes and thorns, difficulties, obstacles and dangers	chông gai
to resist, oppose, support	chõi
bamboo bench, bamboo bed	chõng
pagoda, Buddhist temple	chùa
(Buddhist) temple, pagoda	chùa chiền
to wipe	chùi
to wipe one’s mouth	chùi miệng
to clean houses	chùi nhà
volcanic cone	chùi núi lửa
to wipe one’s tears	chùi nước mắt
to wipe clean, polish	chùi rửa
to clean houses	chùi rửa nhà cửa
bunch, bundle	chùm
cluster of flowers	chùm hoa
hood, head covering	chùm đầu
to slow down, stop	chùn
to slow one’s pace	chùn bước
very short	chùn chùn
pull back	chùn tay
loiter, linger, delay, dally	chùng chình
stealthily	chùng vụng
club-whack, thwack, thump, heavy thrashing	chùy
(1) uncle, father’s younger brother; (2) to note, annotate, explain, mark; (3) to pour; (4) incantation, spell	chú
an active little boy	chú bé nhanh nhảu
thief	chú chích
comment	chú giải
to gaze at, concentrate one’s attention upon	chú mục
groom, bridegroom	chú rể
to annotate, note, edit, make a note; note, annotation	chú thích
novice, lay brother (in Buddhist temple)	chú tiểu
to pay attention, attach importance	chú trọng
to concentrate on, pay attention to	chú tâm
to pay attention to, concentrate on Europe	chú tâm đến vùng Âu Châu
to indicate pronunciation (phonetically)	chú âm
to pay attention; note	chú ý
to listen with both ears	chú ý nghe
(1) God; lord, master; (2) very, extremely	chúa
lord	chúa công
jailer, warden, warder	chúa ngục
king of the forest or jungle, tiger	chúa sơn lâm
god, creator	chúa trời
chief, master, lord	chúa tể
landlord	chúa đất
to wish (someone something)	chúc
to congratulate	chúc mừng
happy new year	chúc mừng năm mới
I wish you good health	chúc ngài được bình an
to wish somebody well	chúc phúc
will, testament	chúc thư
to wish a long life, birthday (for an old person)	chúc thọ
to wish somebody a happy new year	chúc tết
to complement, praise, toast	chúc tụng
formal eulogy with wishes (at a ceremony, banquet)	chúc từ
to open slightly (one’s lips)	chúm chím
group, people; (pluralizer for persons)	chúng
friends	chúng bạn
we (when addressing one’s uncle or aunt or one’s	chúng cháu
we (when addressing one’s parents or grandparents or one’s	chúng con
we (when addressing one’s elder brother or sister)	chúng em
all reporting the same, unanimous	chúng khẩu đồng từ
you (plural, impolite)	chúng mày
we (inclusive)	chúng mình
they (impolite)	chúng nó
they follow the same profession	chúng nó cùng làm một nghề với nhau
living beings, souls of the dead	chúng sinh
we (includes the speaker and the person spoken to)	chúng ta
we can’t do it ourselves, by ourselves	chúng ta không thể làm một mình nổi
ordinary people	chúng thường
round	chúng tròn
we, us (excluding the person addressed)	chúng tôi
we have 3 children	chúng tôi được ba cháu
we (very arrogant)	chúng ông
(1) a little bit, a tiny bit, a short while; (2) great-great grandchild	chút
(not) one bit, (not) even a little	chút nào hết
little more	chút nữa
modest condition	chút phận
a small gift	chút quà nhỏ nhoi
humble life	chút thân
a little more time	chút thì giờ nữa
just a little	chút xíu
a little bit more, just a little more	chút xíu nữa
a little bit, small, slightly	chút ít
a little bit	chút đỉnh
hard, laborious, diligent, hard-working	chăm
to be attentive, concentrate; concentrating, with concentration	chăm chú
fixedly, intently	chăm chăm
assiduous, laborious, industrious, studious, hard working	chăm chỉ
studious, hard working; to study diligently, study hard	chăm học
hardworking	chăm làm
care, attention, supervision; to see to, look after, take care of, attend on (upon), care for	chăm sóc
health care	chăm sóc sức khỏe
to look after a child	chăm sóc trẻ em
(1) blanket; (2) to herd	chăn
quilt	chăn bông
woolen blanket	chăn chiên
blankets and sleeping mats	chăn chiếu
to be absorbed in	chăn chú
to lead, guide	chăn dắt
blanket and pillow, bed and board; to be married, have marital relations	chăn gối
bedding	chăn màn
to rear, breed; animal raising, husbandry	chăn nuôi
to breed dairy cows	chăn nuôi bò sữa
to graze, pasture	chăn thả
breed silk-worms	chăn tằm
thin blanket	chăn đơn
(1) to stretch, spread; (2) (interrogative particle showing doubt)	chăng
stretch wire or rope	chăng dây
to spread, a net	chăng lưới
to hang a mosquito net	chăng màn
interrogative particle	chăng tá
to aim, point	chĩa
to aim directly at	chĩa ngay vào
to point a gun, aim a gun	chĩa súng
to point a gun at, aim at	chĩa súng vào
to point a gun at someone’s head	chĩa súng vào đầu
to aim directly at	chĩa thẳng vào
to aim at	chĩa vào
idealism	chũ nghĩa duy tâm
cure	chũa khỏi
top cut off an areca-nut	chũm
cymbal	chũm chọe
to go out, be out, go for a walk, have a good time, play, amuse oneself (with); fun, amusement, play, game	chơi
to shoot, play marbles	chơi bi
to play cards	chơi bài
to party, have a fun time	chơi bời
to play on words, make a pun	chơi chữ
to frequent prostitutes	chơi gái
to play a dirty or nasty trick on somebody, play a	chơi khăm
to act unconventionally-to commit adultery	chơi ngang
play pranks	chơi nghịch
to act stupidly, do something dumb	chơi ngu
exceed the limits (of)	chơi ngông
fight, show fight	chơi nhau
amuse oneself (without) doing anything), idle playing	chơi nhởn
to spend one’s time aimlessly	chơi phiếm
foul play	chơi rừng
to play dice	chơi súc sắc
to keep company with older (wealthier) people	chơi trèo
to give oneself airs, play the high and mighty	chơi trội
have fun on Vietnamese New Year’s day	chơi xuân
to play a mean trick (on someone)	chơi ác
to play piano	chơi đàn pi a nô
to play	chơi đùa
to frequent prostitutes	chơi đĩ
all, every	chư
satellite (country), vassal, follower	chư hầu
gentlemen, sirs	chư quân
all the monks	chư tăng
gentlemen, every one of	chư vị
gentlemen (as a term of address)	chư ông
not yet, yet (to happen)	chưa
never, not yet, not as of the present	chưa bao giờ
to not yet know	chưa biết
it is too early to do something	chưa chi đã
not over yet, not yet over, unfinished	chưa chấm đứt
perhaps, maybe	chưa chừng
to not have any suspects as yet	chưa có ai là nghi can
no one as yet believed in this discovery	chưa có ai tin tưởng ở khám phá này
